,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V353,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V354,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, persona lesionada al subir o bajar del vehiculo"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V355,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, conductor lesionado en accidente de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V356,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, pasajero lesionado en accidente de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V357,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, persona que viaja  fuera del vehiculo, lesionada en accidente de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V359,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V360,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, conductor lesionado en accidente no de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V361,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, pasajero lesionado en accidente no de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V362,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V363,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V364,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, persona lesionada al subir o bajar del vehiculo"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V365,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, conductor lesionado en accidente de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V366,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, pasajero lesionado en accidente de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V367,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V36,Ocupante De Vehiculo De Motor De Tres Ruedas Por Colision Con Otros Vehiculos Sin Motor,V369,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos sin motor, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V370,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, conductor lesionado en accidente no de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V371,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, pasajero lesionado en accidente no de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V372,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V373,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V374,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, persona lesionada al subir o bajar del vehiculo"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V375,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, conductor lesionado en accidente de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V376,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, pasajero lesionado en accidente de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V377,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V37,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Objeto Fijo O Estacionado,V379,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con objeto fijo o estacionado, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V380,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, conductor lesionado en accidente no de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V381,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, pasajero lesionado en accidente no de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V382,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V383,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V384,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, persona  lesionada al subir o bajar del vehiculo"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V385,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, conductor lesionado en accidente de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V386,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, pasajero lesionado en accidente de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V387,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V38,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Accidente De Transito Sin Colision,V389,"Ocupante de vehiculo de motor de tres ruedas lesionado en accidente de transporte sin colision, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V390,"Conductor de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V391,"Pasajero de  vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V392,"Ocupante no especificado de  vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V393,"Ocupante [cualquiera] de vehiculo de motor de tres ruedas lesionado en accidente no de transito, no especificado"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V394,"Conductor de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V395,"Pasajero de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V396,"Ocupante no especificado de vehiculo de motor de tres ruedas lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V398,Ocupante [cualquiera] de vehiculo de motor de tres ruedas lesionado en otros accidentes de transporte especificados
V39,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado En Otros Accidentes, Y En Los No Especificados",V399,Ocupante [cualquiera] de vehiculo de motor de tres ruedas lesionado en accidente de transito no especificado
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V400,"Ocupante de automovil lesionado por colision con peaton o animal, conductor lesionado en accidente no de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V401,"Ocupante de automovil lesionado por colision con peaton o animal, pasajero lesionado en accidente no de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V402,"Ocupante de automovil lesionado por colision con peaton o animal, persona  que viaja fuera del vehiculo, lesionada en  accidente no de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V403,"Ocupante de automovil lesionado por colision con peaton o animal, ocupante no especificado de  automovil, lesionado en accidente no de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V404,"Ocupante de automovil lesionado por colision con peaton o animal, persona lesionada al subir o bajar del vehiculo"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V405,"Ocupante de automovil lesionado por colision con peaton o animal, conductor lesionado en accidente de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V406,"Ocupante de automovil lesionado por colision con peaton o animal, pasajero lesionado en accidente de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V407,"Ocupante de automovil lesionado por colision con peaton o animal, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V40,Ocupante De Automovil Lesionado Por Colision Con Peaton O Animal,V409,"Ocupante de automovil lesionado por colision con peaton o animal, ocupante no especificado de automovil, lesionado en accidente de transito"
V41,Ocupante De Automovil Lesionado Por Colision Con Vehiculo De Pedal,V410,"Ocupante de automovil lesionado por colision con vehiculo de pedal, conductor lesionado en accidente no de transito"
V41,Ocupante De Automovil Lesionado Por Colision Con Vehiculo De Pedal,V411,"Ocupante de automovil lesionado por colision con vehiculo de pedal, pasajero lesionado en accidente no de transito"
V41,Ocupante De Automovil Lesionado Por Colision Con Vehiculo De Pedal,V412,"Ocupante de automovil lesionado por colision con vehiculo de pedal, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
